"Id_produktu","Nazwa","Id_kategorii","Cena"
"121","RAM HYPERX Fury RGB 16GB 2666MHz","10","339.99"
"122","GOODRAM IR-X3000D464L16S/8G","10","169"
"123","RAM PNY 8GB 2666MHz","10","129"
"124","RAM CRUCIAL Ballistix RGB 16GB 3200MHz","10","453.31"
"125","RAM TEAM GROUP XCalibur 16GB 3600MHz","10","629.99"
"126","RAM PATRIOT Viper Steel 16GB 4000MHz","10","539"
"127","RAM CRUCIAL Ballistix 16GB 3600MHz","10","542.67"
"128","RAM PNY XLR8 32GB 3200MHz","10","679"
"129","RAM PATRIOT Viper Steel 16GB 4133MHz","10","594.09"
"130","RAM GOODRAM 16GB 2400MHz","10","287.99"
"131","RAM HYPERX Fury 8GB 2666MHz","10","178.99"
"132","RAM CRUCIAL Ballistix RGB 32GB 3200MHz","10","909.99"
"133","Słuchawki RAZER Kraken X Lite","11","179.99"
"134","Słuchawki STEELSERIES Arctis 3 Black","11","299"
"135","MAD DOG GH705","11","169.99"
"136","STEELSERIES Arctis 1","11","229.99"
"137","GENESIS Radon 610","11","149.99"
"138","MAD DOG GH003","11","79.99"
"139","STEELSERIES Arctis 5 Czarny","11","399"
"140","RAZER Kraken Czarny","11","299"
"141","LOGITECH Gaming G Pro X","11","479"
"142","TRACER Dragon TRASLU44893","11","69.99"
"143","HYPERX Cloud Alpha HX-HSCA-RD/EM","11","269"
"144","MODECOM Volcano MC-859 Bow","11","119.99"
"145","MICROSOFT Windows 10 Home","12","519"
"146","COREL CorelDRAW Home & Student 2019","12","379"
"147","NORTON Security Deluxe 3.0 (5 stan. 12 mies.)","12","119.99"
"148","ESET Nod32 Antivirus 1PC/12M Box","12","119"
"149","MICROSOFT 365 Personal","12","299"
"150","MICROSOFT Office Home & Student 2019","12","649"
"151","MICROSOFT 365 Business Standard","12","699"
"152","DGCS BIZNESMEN Fakturowanie PRO","12","59.99"
"153","FORMSOFT SKP JPK Start","12","114.99"
"154","INSERT Sello (12 mies.)","12","149.66"
"155","Kod aktywacyjny MAGIX Vegas Movie Studio 15 Suite","12","499"
"156","Kod aktywacyjny MAGIX Acid Music Studio 10","12","199"
"157","SILENTIUMPC Vero L3 Bronze 600W","13","239"
"158","SILENTIUMPC Supremo FM2 Gold 750W","13","439"
"159","SILENTIUMPC Supremo M2 Gold V2 550W","13","299"
"160","IBOX Cube II 600W","13","122.57"
"161","CORSAIR RM650X 650W (CP-9020178-EU)","13","559"
"162","CHIEFTEC Proton BDF-500S 500W","13","184"
"163","SILENTIUM PC Supremo L2 650W","13","349"
"164","BE QUIET! Dark Power Pro 11 550W","13","612.01"
"165","ASUS Rog Strix 650W","13","679"
"166","CORSAIR CV450 450W","13","209"
"167","MODECOM Volcano 750W","13","289"
"168","COUGAR VTE 600W","13","201.43"
